Fax Modem Speed,Number Of Cartridges Included,Battery Type,Tray Capacity,Printer Resolution (Color),ISO Mono Print Speed,Phone Included,Number Of Speed Dials,Supported Paper Sizes,Mobile Device Printing,Compatible Cartridges,Provider_Product_ID,Black Printer Resolution,Maximum Fax Page Memory,EPEAT Qualified,Printer Type,Double-Sided Printing,Batteries Included,pricematch,Copier Resolution (Color),Print Quality,Print (Color) Speed,Type of Interface,Automatic Document Feeder Capacity,Copier Resolution,Media Sizes,Paper Compatibility,Touch Screen,Print (Black/Monochromatic) Speed,Integrated Fax,ENERGY STAR Certified,Copier Speed (B&W),Media Types,Maximum Photo Length,Display Screen Size,Transparency Scanning,Minimum System Requirements,Input Paper Capacity,Duty Cycle,Automatic Document Feeder,Integrated Answering System,Paper Handling,Compact Design,Print Speed (B&W),Multiple Copies,Maximum Document Width,Color Category,Number Of Cartridges Required,Automatic Redial,Maximum Document Length,EPEAT Level,Copier Resolution (Black),Duplex Scan Function,Dye-Sublimation Printer,Networking,Scan (Monochromatic) Speed,Scan (Color) Speed,Print Head Type,Interface(s),Printer Resolution (Black),Fax Machine Type,Maximum Number Of Copies,Scanner Type,Automatic Reduction/Enlargement,Ink Subscription Service Available,Maximum Photo Width,Scan Method,Copy Speed,Scanner Resolution (dpi),DND Omega Publish,Included Software,Networking Capabilities,Photo Printer,Internet Fax Capability,Scanner Resolution,Wireless Networking,Two-Sided Printer,Connector Type(s),Portable,Paper Feeder,Printer Connectivity,Drop Size,Print Speed (Color),Internal Memory,Copy (Color) Speed,PictBridge Enabled,Integrated Caller ID,Memory,Maximum Paper Capacity,Copy (Black/Monochromatic) Speed,ISO Color Print Speed,TWAIN Compliant,Memory Card Slot,Display Screen,Memory Card Type,Monochromatic/Color
14.4 kilobits per second,4,N/A,120,Up to 6000 x 1200,33 pages per minute,N/A,N/A,"Up to 8.5"" x 14"" (legal)",Yes,"LC101 Black, Cyan, Magenta, Yellow",N/A,N/A,N/A,No,All In One,Yes,N/A,yes,Up to 2400 x 1200,N/A,27 pages per minute,N/A,20 sheets,N/A,N/A,N/A,N/A,33 pages per minute,N/A,No,N/A,N/A,N/A,N/A,N/A,"PC: Windows XP, XP Professional x64, Server 2003, Server 2003 x64, Server 2003 R2, Server 2003 Rs x64, Vista, Server 2008, Server 2008 R2, 7 or 8, Mac: OS X 10.6.x, 10.7.x or 10.8.x",N/A,"Up to 2,500",N/A,N/A,Up to 120 sheets,N/A,N/A,N/A,8.5 inches,Black,4,N/A,14 inches,N/A,Up to 2400 x 1200,N/A,N/A,Wireless,N/A,N/A,N/A,N/A,Up to 6000 x 1200,N/A,N/A,Flatbed,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,Up to 2400 x 1200,N/A,N/A,N/A,No,N/A,USB,N/A,N/A,No,6 copies per minute,N/A,N/A,N/A,N/A,6 copies per minute,27 pages per minute,N/A,Yes,Yes,N/A,N/A
33.6 kilobits per second,1,N/A,250,N/A,N/A,N/A,N/A,"Letter, legal, A4, A5, B5, statement, executive",No,Cartridge 128,N/A,N/A,N/A,No,All In One,No,N/A,N/A,N/A,N/A,N/A,N/A,35 sheets,N/A,N/A,N/A,N/A,24 pages per minute,Yes,Yes,N/A,N/A,N/A,N/A,N/A,"PC: Windows XP, Server 2003, Vista, Server 2008, Server 2008 R2, 7 or 8; Mac: OS X 10.5.8 or later",N/A,"Up to 8,000",N/A,N/A,Up to 250 sheets,N/A,N/A,N/A,8.5 inches,Black,1,N/A,14 inches,N/A,Up to 600 x 600,N/A,N/A,Wired,N/A,N/A,N/A,N/A,Up to 600 x 600,N/A,99,Flatbed,Yes,No,N/A,N/A,N/A,N/A,N/A,"Printer driver, Fax driver, Scanner driver, MF Toolbox, AddressBookTool, Presto! PageManager",N/A,No,N/A,Up to 600 x 600,N/A,N/A,N/A,No,Front loader,USB 2.0,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,24 copies per minute,N/A,N/A,No,Yes,N/A,Monochromatic
N/A,0,N/A,N/A,Up to 300 x 300,N/A,N/A,N/A,Postcard and credit card sizes,Yes,KP-108IN,N/A,N/A,N/A,No,Printer,N/A,No,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,6 inches,2.7 inches,N/A,"PC: Windows XP (SP3), Vista (SP2), 7 (SP1) or 8, Windows 7 (SP1) or 8 for Wi-Fi connection, Mac: OS X v10.6.8 - v10.9",N/A,Unknown,N/A,N/A,N/A,Yes,N/A,N/A,N/A,White,1,N/A,N/A,N/A,N/A,N/A,Yes,Wireless,N/A,N/A,N/A,N/A,Up to 300 x 300,N/A,N/A,N/A,N/A,No,4 inches,N/A,N/A,N/A,N/A,Software (CD-ROM),N/A,Yes,N/A,N/A,N/A,N/A,USB,Yes,N/A,USB|Apple AirPrint,N/A,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,microSD|miniSD|Secure Digital,N/A
33.6 kilobits per second,4,N/A,150,Up to 5760 x 1440,13 pages per minute,N/A,N/A,"4"" x 6"", 5"" x 7"", 8"" x 10"", 8.5"" x 11"", 8.5"" x 14"", A4, A6, half letter, executive, user definable (3.5"" - 47.2"" in length)",Yes,220; 220XL,N/A,N/A,N/A,No,All In One,Yes,N/A,yes,Up to 360 x 360,N/A,7.3 pages per minute,N/A,30 sheets,N/A,N/A,N/A,N/A,13 pages per minute,Yes,No,N/A,N/A,N/A,2.7 inches,N/A,"PC: Windows Server 2003, Server 2003 R2, Server 2008, Server 2008 R2, Server 2012, Server 2012 R2, XP Professional x64 Edition, XP SP3 (32-bit), Vista (32- or 64-bit), 7 (32- or 64-bit) or 8.x (32- or 64-bit); Mac: OS X 10.5.8 - 10.9.x",N/A,"Up to 3,000",N/A,N/A,Up to 150 sheets,N/A,N/A,N/A,8.5 inches,Black,4,N/A,47.2 inches,N/A,Up to 360 x 360,N/A,N/A,Wired/Wireless,N/A,N/A,N/A,N/A,Up to 5760 x 1440,N/A,99,Flatbed,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,Up to 2400,N/A,N/A,N/A,No,N/A,USB,2.8 picoliters,N/A,Yes,5.5 copies per minute,N/A,N/A,N/A,N/A,11 copies per minute,7.3 pages per minute,N/A,No,Yes,N/A,N/A
N/A,N/A,N/A,N/A,Up to 600 x 600,N/A,N/A,N/A,"3"" x 5"" to 8.5"" x 14""",No,N/A,N/A,N/A,N/A,No,All In One,N/A,N/A,N/A,N/A,N/A,14 pages per minute,N/A,N/A,N/A,N/A,N/A,N/A,14 pages per minute,N/A,Yes,N/A,N/A,N/A,3.5 inches,N/A,"PC: Windows XP (32-bit, SP2): Intel Pentium 233MHz processor; Windows Vista, 7 or 8: 1.0GHz processor; 200MB hard disc space, CD/DVD-ROM drive or Internet, USB or network port; Mac: OS X v10.5 or v10.7",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Black,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Wired/Wireless,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,Wi-Fi|Ethernet,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Color
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Up to 1200 x 1200 dpi,N/A,N/A,N/A,N/A,N/A,yes,N/A,For documents,N/A,"USB,",N/A,N/A,"A4, Com 9 Envelope, Com10 Envelope, Custom Size, Executive, Folio, Legal, Letter, Monarch Envelope, Statement, US Postcard",N/A,N/A,N/A,N/A,N/A,N/A,"Bond Paper, Card Stock, Color Paper, Envelope, Label, Letterhead, Light Paper, Plain Paper, Pre-punched Paper, Preprinted Paper, Recycled Paper, Rough Paper, Transparency",N/A,N/A,N/A,N/A,Up to 100 sheets,N/A,N/A,N/A,N/A,N/A,Up to 62 ppm (Print speeds vary with use. See manufacturer for info on print speeds.),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,512MB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,5,N/A,100,Up to 4800 x 1200,15 pages per minute,N/A,N/A,"Letter, legal, envelope (U.S. #10), 4"" x 6"", 5"" x 7"" and 8"" x 10""",Yes,"PGI-250 PGBK XL, CLI-251XL C, CLI-251XL M, CLI-251XL Y, CLI-251XL BK|PGI-250 PGBK, CLI-251 C, CLI-251 M, CLI-251 Y, CLI-251 BK",N/A,N/A,N/A,Yes,All In One,Yes,N/A,yes,Up to 600 x 600,N/A,9.7 pages per minute,N/A,N/A,N/A,N/A,N/A,N/A,15 pages per minute,N/A,No,N/A,N/A,N/A,3 inches,N/A,"PC: Windows XP SP3 (32-bit), Vista SP1 or SP2, 7, 7 SP1, 8 or 8.1, Mac: OS X 10.6.8 to 10.9",N/A,Unknown,N/A,N/A,Up to 100 sheets,N/A,N/A,N/A,8.5 inches,Black,5,N/A,14 inches,Silver,Up to 600 x 600,N/A,N/A,Wireless,7.7 copies per minute,7.7 copies per minute,N/A,N/A,Up to 600 x 600,N/A,99,Flatbed,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Up to 19200 x 19200,N/A,N/A,N/A,No,Bottom loader,USB,N/A,N/A,No,7.7 copies per minute,N/A,N/A,N/A,N/A,7.7 copies per minute,9.7 pages per minute,N/A,Yes,Yes,N/A,N/A
N/A,6,N/A,125,Up to 9600 x 2400,15 pages per minute,N/A,N/A,"Letter, legal, envelope (U.S. #10), 4"" x 6"", 5"" x 7"" and 8"" x 10""",Yes,"PGI-250 PGBK XL, CLI-251XL C, CLI-251XL M, CLI-251XL Y, CLI-251XL BK|PGI-250 PGBK, CLI-251 C, CLI-251 M, CLI-251 Y, CLI-251 BK",N/A,N/A,N/A,Yes,All In One,Yes,N/A,yes,Up to 600 x 600,N/A,10 pages per minute,N/A,N/A,N/A,N/A,N/A,N/A,15 pages per minute,N/A,No,N/A,N/A,N/A,3.5 inches,N/A,"PC: Windows XP SP3 (32-bit), Vista SP1 or SP2, 7, 7 SP1, 8 or 8.1, Mac: OS X 10.6.8 to 10.9",N/A,Unknown,N/A,N/A,Up to 125 sheets,N/A,N/A,N/A,8.5 inches,White,6,N/A,14 inches,Silver,Up to 600 x 600,N/A,N/A,Wireless,7.7 copies per minute,7.7 copies per minute,N/A,N/A,Up to 600 x 600,N/A,99,Flatbed,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Up to 4800 x 2400,N/A,N/A,N/A,No,Bottom loader,USB,N/A,N/A,No,7.7 copies per minute,N/A,N/A,N/A,N/A,7.7 copies per minute,10 pages per minute,N/A,Yes,Yes,N/A,N/A
N/A,N/A,N/A,N/A,N/A,35 pages per minute,N/A,N/A,"A4, A5, A6, B5 (JIS), letter, legal, executive, 8.5"" x 13""",Yes,N/A,N/A,N/A,N/A,No,Printer,Yes,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35 pages per minute,N/A,Yes,N/A,N/A,N/A,N/A,N/A,"PC: Windows XP (32-bit, SP2): 233MHz Intel Pentium processor; Windows Vista (32- or 64-bit) or 7 (32- or 64-bit): 1.0GHz 32-bit (x86) or 64-bit (x64) processor; Mac: PowerPC G4, G5, or Intel Core processor",N/A,"Up to 50,000",N/A,N/A,Up to 250 sheets,N/A,N/A,N/A,N/A,Black,1,N/A,N/A,N/A,N/A,N/A,N/A,Wired/Wireless,N/A,N/A,N/A,N/A,Up to 1200 x 1200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,USB 2.0,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,Monochromatic
N/A,1,N/A,150,N/A,19 pages per minute,N/A,N/A,"Letter, legal, executive, postcard, #10 Monarch envelope",Yes,HP 85A Black LaserJet Toner Cartridge CE285A,N/A,N/A,N/A,Yes,Printer,No,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19 pages per minute,N/A,Yes,N/A,N/A,N/A,N/A,N/A,"PC: Windows Server 2003, Server 2008, XP, Vista or 7; 512MB RAM; 350MB hard drive space; Mac: OS X v10.5, 10.6, 10.7; 256MB RAM; 150MB hard drive space; CD-ROM drive; USB port",N/A,"Up to 5,000",N/A,N/A,Up to 150 sheets,N/A,N/A,N/A,8.5 inches,Black,1,N/A,14 inches,Silver,N/A,N/A,N/A,Wired/Wireless,N/A,N/A,N/A,N/A,Up to 1200,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,"HP Usage tracking, HP Status and Alerts, eGSG, Control Panel Simulator, Print Driver, Software Installer/Uninstaller",N/A,No,N/A,N/A,N/A,N/A,N/A,No,Tray loader,Ethernet,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,Monochromatic
