Coldproof,Integrated GPS,Maximum Aperture,3D Capture,Instant Print,Minimum Flash Range - Wide,Batteries,Remote Compatible,Memory Card Included,Panorama Mode,pricematch,Total Megapixels,Software Included,Touchscreen,Image Storage Capacity,External Flash Mount,Number Of Batteries Required,Shockproof,Scene Modes,File Formats,Output(s),Image Sensor Type,Autofocus,Image Stabilization,Number Of Images Per Charge,Image Storage Type,NFC Enabled,White Balance,Touch Screen,Wi-Fi Ready,HD Movie Mode,Imaging Sensor Vertical Size,Digital Magnification,Focus Range,Image Resolution,Camera Dock,Image Stitching,DND Omega Publish,Maximum Expandable ISO,Face Detection,Imaging Sensor Size,Minimum Flash Range - Telephoto,Long Zoom,Imaging Sensor Type,ISO Settings,Tripod/Monopod Socket Size,Minimum Aperture,Cold Resistant,Shock Resistant,Varying Angle LCD,Maximum Operating Temperature,Flash Range,Number Of Memory Card Slots,Lens Features,Maximum Flash Range - Wide,Digital Zoom,Digital Camera Type,Minimum ISO,Integrated Flash,Color Category,Interface,LCD Screen Size,Maximum Flash Range - Telephoto,Additional Accessories Included,Lens Focal Length(s),Tripod Mount,Frame Rate,Internal Memory,Video Outputs,Waterproof,Brightness Control,Megapixels (Effective),Frames Per Second,Camera Full Frame Sensor,WiFi enabled,Filter Diameter,Low Light/High Sensitivity,Viewfinder Magnification,AC Adapter Compatible,Exposure Control,Tripod/Monopod Mountable,Self Timer,Wi-Fi Built-in,Memory Card Compatibility,Burst Mode,Shutter Speeds,AC Adapter,AC Adapter Included,Audio,Compatible Memory Formats,LCD Screen Features,Smile Mode,Viewfinder,HD Movie Mode Focus,Records Audio,Maximum ISO,Integrated Projector,Internal Memory Included,Computer Connectivity,Lens Mount Compatibility,ISO Equivalent,Megapixels (Total),Low-Light/High Sensitivity,Maximum Focal Length,Imaging Sensor Horizontal Size,Removable Memory Included,Minimum Focal Length,Aperture Range,Display Type,Lens,Max ISO,White Balance Modes,Camera Body Style,Water Resistant,Effective Megapixels,Batteries Included,Vista Compatible,Text Overlay,Movie Mode,Shooting Modes,Screen Resolution,PictBridge Enabled,Optical Zoom,Self-Timer,Lens Focal Length 35mm Film Equivalent,Flash Modes,Minimum Operating Temperature,Screen Size,Varying Angle Screen,Time Lapse,Orientation Sensor,In-Lens Image Stabilization,Image File Format(s),High Definition,Movie Recording Mode,Maximum Height of Shock Resistance
N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,yes,24.7 megapixels,Nikon ViewNX 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CMOS,Yes,Optical,N/A,N/A,No,N/A,N/A,N/A,Yes,15.4 millimeters,N/A,N/A,6016 x 4000,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,"100-6400, extendable to 12,800 equivalent",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,DSLR Camera with Lens,N/A,Yes,Red,N/A,N/A,N/A,"Lithium-ion battery (EN-EL14), charger, A/V cable, USB cable, neck strap, Nikon ViewNX 2 CD",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52 millimeters,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Secure Digital|Secure Digital High Capacity (SDHC)|Secure Digital Extended Capacity (SDXC),N/A,1/4000 - 30 sec.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,Nikon F,N/A,N/A,N/A,200 millimeters,23.2 millimeters,N/A,55 millimeters,N/A,N/A,N/A,N/A,"Auto, incandescent, fluorescent (7 types), direct sunlight, flash, cloudy, shade, preset manual",N/A,No,24.2 megapixels,Yes,N/A,N/A,N/A,N/A,N/A,Yes,3x,N/A,N/A,Red-eye reduction|Slow sync,N/A,3 inches,N/A,N/A,N/A,N/A,JPEG|RAW,Yes,Yes,N/A
N/A,Adaptable,5.6 f/,N/A,No,N/A,N/A,N/A,No,No,yes,24.7 megapixels,Nikon ViewNX 2,N/A,N/A,Other,1,N/A,N/A,N/A,NTSC|PAL,CMOS,Yes,Optical,N/A,N/A,No,N/A,No,N/A,Yes,15.6 millimeters,N/A,N/A,6000 x 4000,N/A,N/A,N/A,25600,Yes,N/A,N/A,N/A,N/A,"100 - 6400 (expandable to 25,600)",6.4 millimeters,3.5 f/,No,No,N/A,N/A,N/A,1,N/A,N/A,None,DSLR Camera with Lens,100,Yes,Red,N/A,N/A,N/A,N/A,N/A,N/A,5 frames per second,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52 millimeters,Yes,N/A,Yes,N/A,Yes,N/A,Adaptable,Secure Digital High Capacity (SDHC)|Secure Digital Extended Capacity (SDXC)|Secure Digital,Yes,"30 - 1/4000 sec.; bulb; time (optional remote ML-L3 required, not included)",N/A,No,N/A,N/A,N/A,N/A,Optical,N/A,Yes,12801,No,N/A,N/A,Bayonet,N/A,N/A,N/A,55 millimeters,23.5 millimeters,N/A,18 millimeters,N/A,Other,N/A,N/A,"Auto, incandescent, fluorescent (7 types), direct sunlight, flash, cloudy, shade and more",N/A,No,24.1 megapixels,Yes,N/A,N/A,N/A,None,N/A,Yes,3x,N/A,18 - 55mm,Red-eye reduction|Off|Auto|Slow sync,N/A,3 inches,N/A,N/A,N/A,N/A,JPEG|MPEG-4|RAW|Other,Yes,Yes,N/A
N/A,No,N/A,N/A,No,N/A,N/A,N/A,No,No,yes,19.3 megapixels,EOS Digital Solution,N/A,N/A,Other,N/A,N/A,N/A,N/A,USB,CMOS,Yes,None,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,5184 x 3456,N/A,N/A,N/A,204800,Yes,N/A,N/A,N/A,N/A,"100 - 51,200",N/A,N/A,No,No,N/A,N/A,N/A,2,N/A,N/A,None,DSLR Camera Body Only,100,Yes,Black,N/A,N/A,N/A,N/A,N/A,N/A,10 frames per second,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Yes,Yes,CompactFlash (CF),Yes,Bulb; X-sync at 1/250 sec;: 1/8000 - 30 sec.; Movie/Program AE: 1/4000 - 1/30 sec.; Movie/Manual Exposure for 24/25/30 fps: 1/4000 - 1/30 sec.; Movie/Manual Exposure for 50/60 fps: 1/4000 - 1/60 sec.,N/A,N/A,N/A,N/A,N/A,N/A,Electronic,N/A,N/A,N/A,No,N/A,N/A,Canon EF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LCD,N/A,N/A,"Auto, daylight, shade, cloudy, tungsten light, white fluorescent light and more",N/A,No,18.1 megapixels,N/A,N/A,N/A,N/A,N/A,N/A,Yes,None,N/A,N/A,Auto,N/A,3.2 inches,N/A,N/A,N/A,N/A,JPEG|Other|RAW,Yes,Yes,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,Adaptable,3.5 f/,N/A,No,N/A,N/A,N/A,No,N/A,yes,24.7 megapixels,NikonView NX2 CD-ROM,N/A,N/A,Other,1,N/A,N/A,N/A,N/A,CMOS,Yes,N/A,N/A,N/A,No,N/A,No,N/A,Yes,24 millimeters,N/A,N/A,N/A,N/A,N/A,N/A,25600,N/A,N/A,N/A,N/A,N/A,"100 - 6400 (expandable to 25,600)",6.4 millimeters,22 f/,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,None,DSLR Camera with Lens,100,Yes,Black,N/A,N/A,39 feet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Adaptable,Secure Digital,Yes,"1/4,000 to 30s",N/A,N/A,N/A,N/A,N/A,N/A,Optical,Auto Focus,N/A,6400,No,N/A,N/A,Bayonet,N/A,N/A,N/A,300 millimeters,35.9 millimeters,N/A,28 millimeters,N/A,LCD,N/A,N/A,N/A,N/A,No,24.3 megapixels,N/A,N/A,N/A,N/A,"Photography Live View mode, Movie Live View mode",N/A,Yes,N/A,N/A,N/A,Slow sync|Red-eye reduction|Off|Auto,N/A,3.2 inches,N/A,N/A,No,N/A,JPEG,Yes,No,N/A
N/A,No,3.5 f/,No,No,0 feet,N/A,Yes,No,No,N/A,24.78 megapixels,Nikon View NX 2,N/A,N/A,Hot Shoe,1,N/A,"Autumn colors, beach/snow, blossom and more",N/A,HDMI|USB,CMOS,Yes,Optical,820,N/A,No,N/A,Yes,N/A,Yes,15.6 millimeters,N/A,N/A,6000 x 4000,N/A,N/A,N/A,25600,Yes,N/A,0 feet,No,N/A,"100 - 25,600",N/A,38 f/,No,No,N/A,N/A,N/A,1,N/A,39 feet,None,DSLR Camera with Lens,100,Yes,Black,N/A,N/A,39 feet,"Rechargeable lithium-ion battery (EN-EL14a), quick charger (MH-24), rubber eyecup (DK-25), USB cable (UC-E23), A/V cable (EG-CP16), camera strap (AN-DC3), body cap (BF-1B), Nikon View NX 2 CD-ROM, snap-on front lens cap (LC-67); rear lens cap (LF-4)",N/A,N/A,5 frames per second,N/A,N/A,N/A,Yes,N/A,N/A,No,N/A,67 millimeters,Yes,0.82 times,Yes,N/A,Yes,Yes,Yes,Secure Digital|Secure Digital High Capacity (SDHC)|Secure Digital Extended Capacity (SDXC),Yes,1/4000 - 30 sec.,N/A,No,N/A,N/A,N/A,No,Optical,Auto Focus,Yes,25600,No,No,Android|Apple iOS|Windows|Mac,Nikon F,N/A,N/A,N/A,140 millimeters,23.5 millimeters,N/A,18 millimeters,N/A,LCD touch screen,N/A,N/A,"Auto, incandescent, fluorescent (7 types), direct sunlight, flash, cloudy, shade, preset manual",N/A,No,24.2 megapixels,Yes,N/A,N/A,N/A,"P, S, A, M, auto, auto (no flash), scene, effects, movie","1,037,000 dots",Yes,N/A,N/A,18-140mm,Auto|Red-eye reduction|Slow sync|Fill-in|Off,N/A,3.2 inches,Yes,N/A,No,Yes,RAW|JPEG,Yes,Yes,N/A
N/A,Yes,N/A,N/A,No,N/A,N/A,N/A,No,N/A,yes,24.8 megapixels,Nikon ViewNX 2 CD-ROM,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,CMOS,Yes,N/A,N/A,N/A,No,N/A,No,N/A,Yes,15.6 millimeters,N/A,N/A,N/A,N/A,N/A,N/A,25600,Yes,N/A,N/A,N/A,N/A,"100 -12,800 (expandable to 25,600)",6.4 millimeters,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,None,DSLR Camera Body Only,100,Yes,Black,N/A,N/A,43 feet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,Secure Digital,Yes,1/4000 to 30 sec. in steps of 1/3 or 1/2 EV,N/A,N/A,N/A,N/A,N/A,N/A,Optical,Auto Focus,N/A,12800,No,N/A,N/A,Bayonet,N/A,N/A,N/A,N/A,23.5 millimeters,N/A,N/A,N/A,LCD,N/A,N/A,N/A,N/A,No,24.2 megapixels,N/A,N/A,N/A,N/A,"Photography Live View mode, Movie Live View mode",N/A,Yes,None,N/A,N/A,Auto,N/A,3.2 inches,N/A,N/A,No,N/A,JPEG,Yes,No,N/A
No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes,N/A,Nikon ViewNX2,No,Varies,Yes,N/A,No,N/A,"JPEG; JPEG with Fine (approx. 1:4), Normal (approx. 1:8), or Basic (approx. 1:16) compression; NEF (RAW) + JPEG (image recorded in both NEF (RAW) and JPEG formats); TIFF (RGB)",N/A,N/A,N/A,N/A,N/A,Secure Digital (SD)/Secure Digital High Capacity (SDHC)/Secure Digital Expanded Capacity (SDXC),N/A,"Auto (2 types), Choose color temperature (2500K&#8211;10000K), Cloudy, Direct Sunlight, Flash, Fluorescent (7 types), Incandescent, Preset manual (up to 4 values can be stored), Shade",N/A,Yes,No,N/A,N/A,N/A,Up to 4928 x 3280,N/A,N/A,N/A,N/A,Yes,36mm x 23.9mm,N/A,N/A,CMOS,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Silver,High-speed USB,"3.2""",N/A,N/A,N/A,Yes,N/A,N/A,Type C mini HDMI,No,N/A,16.2,5 - 6,N/A,N/A,N/A,N/A,N/A,N/A,Programmed auto with flexible program (P); shutter-priority auto (S); aperture-priority auto (A); manual (M),N/A,N/A,N/A,N/A,Yes,"1/4000 sec. to 4 sec in steps of 1 EV(1/4000&#8211;30 sec. in steps of 1/3 EV with main command dial), bulb, time, X200",Optional,N/A,N/A,"Secure Digital (SD) Card, Secure Digital Extended Capacity (SDXC), Secure Digital High Capacity (SDHC) Card|Secure Digital (SD) Card, Secure Digital Extended Capacity (SDXC), Secure Digital High Capacity (SDHC) Card","TFT-LCD with 921K pixels, 170&#176; wide-viewing angle and 5 brightness levels",N/A,Eye-level SLR pentaprism single-lens reflex,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"100-12800|expandable to Lo-1 (ISO 50), Hi-1 (25600), Hi-2 (51200), Hi-3 (102400), Hi-4 (ISO 204800)",16.6,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12801 and higher,N/A,Digital SLR,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,"2, 5, 10, or 20 sec.|1-9 exposures at intervals of 0.5, 1, 2, or 3 sec.",N/A,"Front curtain sync, slow sync, rear-curtain sync, red-eye reduction, red-eye reduction with slow sync, slow rear-curtain sync, Auto FP High-Speed Sync supported",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,No,5.6 f/,N/A,Yes,N/A,N/A,N/A,No,No,yes,18.5 megapixels,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,CMOS,Yes,Optical,N/A,N/A,No,N/A,Yes,N/A,Yes,14.9 millimeters,N/A,N/A,5184 x 3456,N/A,N/A,N/A,25600,Yes,N/A,N/A,N/A,N/A,"100 - 12,800 (expandable to 25,600)",N/A,3.5 f/,No,No,N/A,N/A,N/A,1,N/A,N/A,None,DSLR Camera with Lens,100,Yes,Black,N/A,N/A,N/A,N/A,N/A,N/A,5 frames per second,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,Yes,No,Secure Digital Extended Capacity (SDXC)|Secure Digital|Secure Digital High Capacity (SDHC),Yes,30 - 1/4000 sec.,N/A,N/A,N/A,N/A,N/A,N/A,Optical,N/A,N/A,12801,No,N/A,N/A,Canon EF,N/A,N/A,N/A,55 millimeters,22.3 millimeters,N/A,18 millimeters,N/A,LCD,N/A,N/A,"Auto, preset (daylight, shade, cloudy, tungsten light, white fluorescent light, flash) and more",N/A,No,18 megapixels,Yes,N/A,N/A,N/A,"Program AE (Scene Intelligent Auto, creative auto, landscape, close-up, sports, special scene modes and more",N/A,Yes,3x,N/A,18 - 55mm,Red-eye reduction,N/A,3 inches,N/A,N/A,N/A,N/A,JPEG,Yes,Yes,N/A
N/A,No,3.5 f/,N/A,No,N/A,N/A,N/A,No,N/A,N/A,24.7 megapixels,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,CMOS,Yes,Optical,N/A,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,6000 x 4000,N/A,N/A,N/A,25600,N/A,N/A,N/A,N/A,N/A,"Auto, 100-12,800 (expandable to 25,600)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,DSLR Camera with Lens,100,No,Black,N/A,N/A,N/A,"Battery pack (LP-E17), battery cover, battery charger (LC-E17), interface cable (IFC-130U), eyecup (EF), wide strap (EW-300D)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,Secure Digital|Secure Digital High Capacity (SDHC)|Secure Digital Extended Capacity (SDXC),N/A,1/4000 - 30 sec.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12800,No,No,N/A,Canon EF-S,N/A,N/A,N/A,55 millimeters,N/A,N/A,18 millimeters,N/A,LCD touch screen,N/A,N/A,N/A,N/A,No,24.2 megapixels,Yes,N/A,N/A,N/A,"Kids, food, candlelight, night portrait, handheld night scene, HDR backlight control",N/A,Yes,N/A,N/A,N/A,N/A,N/A,3 inches,N/A,N/A,N/A,N/A,JPEG|RAW,No,N/A,N/A
N/A,No,5.6 f/,N/A,Yes,N/A,N/A,N/A,No,No,yes,18.5 megapixels,N/A,N/A,N/A,Other,1,N/A,N/A,N/A,N/A,CMOS,Yes,Optical,N/A,N/A,No,N/A,Yes,N/A,Yes,14.9 millimeters,N/A,N/A,5184 x 3456,N/A,N/A,N/A,25600,Yes,N/A,N/A,N/A,N/A,"Auto: 100-6400; Manual: 100-12,800 (expandable to 25,600) for stills, 100-6400 (expandable to 12,800) for videos",N/A,3.5 f/,No,No,N/A,N/A,N/A,1,N/A,N/A,None,DSLR Camera with Lens,100,Yes,Black,N/A,N/A,N/A,N/A,N/A,N/A,4 frames per second,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,No,Secure Digital High Capacity (SDHC),Yes,30 - 1/4000 sec.,N/A,N/A,N/A,N/A,N/A,N/A,Optical,N/A,N/A,12801,No,N/A,N/A,Canon EF,N/A,N/A,N/A,55 millimeters,22.3 millimeters,N/A,18 millimeters,N/A,LCD,N/A,N/A,"Auto, preset (daylight, shade, cloudy, tungsten light, white fluorescent light, flash) and more",N/A,No,18 megapixels,Yes,N/A,N/A,N/A,"Scene Intelligent Auto, kids, food, candlelight, night portrait, handheld night scene, HDR backlight control and more",N/A,Yes,N/A,N/A,35mm equivalent 18 - 55mm (with included lens),Auto,N/A,3 inches,N/A,N/A,N/A,N/A,JPEG,Yes,Yes,N/A
N/A,Yes,4 f/,N/A,Yes,N/A,N/A,N/A,No,N/A,yes,20.6 megapixels,EOS Digital Solution disk and software instruction manual CD,N/A,N/A,Other,1,N/A,N/A,N/A,PAL|NTSC|Mini HDMI,CMOS,Yes,N/A,N/A,N/A,No,N/A,Yes,N/A,Yes,23.9 millimeters,N/A,N/A,5472 x 3648,N/A,N/A,N/A,102400,Yes,N/A,N/A,N/A,N/A,"Manual setting range of ISO 100-25600 (expansion possible to ISO 50, ISO 51200 and 102400) in 1/3-stop or whole-stop increments",N/A,22 f/,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,None,DSLR Camera with Lens,100,Yes,Black,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,No,N/A,Yes,Yes,Yes,Secure Digital Extended Capacity (SDXC)|Secure Digital|Secure Digital High Capacity (SDHC),Yes,"1/4000 to 30 sec., X-sync at 1/180 sec. (Total shutter speed range. Available range varies by shooting mode.)",N/A,N/A,N/A,N/A,N/A,N/A,Optical,N/A,N/A,12801,No,N/A,N/A,Canon EF,N/A,N/A,N/A,105 millimeters,35.8 millimeters,N/A,24 millimeters,N/A,Other,N/A,N/A,"Auto, preset (daylight, shade, cloudy, tungsten light, white fluorescent light, flash) and more",N/A,No,20.2 megapixels,Yes,N/A,N/A,N/A,"Scene Intelligent Auto, creative auto, landscape, close-up, sports, special scene modes (night portrait, HDR backlight control), and more",N/A,Yes,N/A,N/A,24mm,N/A,N/A,3 inches,N/A,N/A,N/A,N/A,Other|RAW|JPEG,Yes,N/A,N/A
N/A,No,N/A,N/A,No,N/A,N/A,Yes,No,N/A,N/A,37.09 megapixels,NikonView NX2,N/A,N/A,N/A,1,N/A,N/A,N/A,USB 3.0|HDMI|NTSC,CMOS,Yes,N/A,N/A,N/A,No,N/A,N/A,N/A,Yes,24 millimeters,N/A,N/A,7360 x 4912,N/A,N/A,N/A,52100,N/A,N/A,N/A,N/A,N/A,"64 - 12,800; Lo-1 (32), Hi-1 (25,600), Hi-2 (51,200)",6.35 millimeters,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,None,DSLR Camera with Lens,64,Yes,Black,N/A,N/A,N/A,"AF-S NIKKOR 24-120mm f/4G ED VR lens, lithium-ion battery (EN-EL15), battery charger (MH-25a), USB cable clip, HDMI cable clip, USB cable (UC-E22), strap (AN-DC12), body cap (BF-1B), eyepiece (DK-17), LCD monitor cover (BM-12), NikonView NX2 CD-ROM",N/A,N/A,5 frames per second,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,Yes,0.7 times,N/A,N/A,Yes,Yes,Adaptable,Secure Digital|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC)|CompactFlash (CF),Yes,1/8000 - 900 sec.; bulb,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,12800,No,N/A,N/A,Nikon F,N/A,N/A,N/A,120 millimeters,35.9 millimeters,N/A,24 millimeters,N/A,LCD,N/A,N/A,"Auto (2 types), color temperature (2500K - 10,000K), cloudy, direct sunlight, flash and more",N/A,No,36.3 megapixels,Yes,N/A,N/A,N/A,N/A,1229K dots,Yes,5x,N/A,N/A,Auto|Slow sync|Red-eye reduction|Off,N/A,3.2 inches,N/A,N/A,N/A,N/A,JPEG|TIFF|H.264|MPEG-4,Yes,Yes,N/A
No,N/A,N/A,N/A,No,N/A,Yes,N/A,N/A,No,yes,N/A,ViewNX 2,No,Varies,N/A,N/A,No,N/A,H.264/MPEG-4,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Varies with lens,N/A,Not included,No,No,N/A,Yes,N/A,N/A,N/A,CMOS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Black,HDMI,"3.2""",N/A,N/A,N/A,N/A,N/A,None,N/A,No,N/A,24.3,7 - 9,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,1/4000 - 30 sec.,N/A,N/A,Yes,Secure Digital (SD)|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC),Tilting Vari-angle LCD,No,Eye-level pentaprism single-lens reflex viewfinder,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,No,N/A,Varies with lens,N/A,N/A,12801 and higher,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,"Auto, auto FP high-speed sync, auto with red-eye reduction, auto slow sync, auto slow sync with red-eye reduction, fill flash, rear-curtain sync, rear-curtain with slow sync, slow sync, off",N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A
N/A,Adaptable,N/A,N/A,Yes,N/A,N/A,N/A,No,No,yes,23.4 megapixels,EOS Digital Solution disc,N/A,N/A,Other,1,N/A,N/A,N/A,Mini HDMI|NTSC|PAL,CMOS,Yes,None,N/A,N/A,No,N/A,No,N/A,Yes,24 millimeters,N/A,N/A,5784 x 3861,N/A,N/A,N/A,102400,Yes,N/A,N/A,N/A,N/A,"Auto 100-25600 (in 1/3-stop or whole-stop increments), expandable to (L)50, (H)51200 and (H2)102400",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,None,DSLR Camera Body Only,100,Yes,Black,N/A,N/A,N/A,N/A,N/A,N/A,6 frames per second,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,N/A,Yes,Yes,Secure Digital Extended Capacity (SDXC)|Secure Digital|Secure Digital High Capacity (SDHC),Yes,"1/8000 to 1/60 sec., X-sync at 1/200 sec., 1/8000 to 30 sec. bulb",N/A,No,N/A,N/A,N/A,N/A,Optical,N/A,Yes,12801,No,N/A,N/A,Canon EF,N/A,N/A,N/A,N/A,36 millimeters,N/A,N/A,N/A,LCD,N/A,N/A,"Auto, daylight, shade, cloudy, tungsten light, white fluorescent light, flash and more",N/A,No,22.3 megapixels,Yes,N/A,N/A,N/A,HDR (High Dynamic Range),N/A,Yes,None,N/A,N/A,N/A,N/A,3.2 inches,N/A,N/A,Yes,N/A,JPEG|MPEG-4|Other|RAW,Yes,Yes,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
