EPEAT Qualified,Touchscreen,ENERGY STAR Certified,Number Of eSATA Ports,2-in-1 Design,Processor Brand,Media Card Reader,Number Of Auxiliary Outputs,Additional Audio/Video Connectors,"Number Of External 3.5"" Bays",EPEAT Level,Speakers,Video Memory,Type of Memory (RAM),Integrated Microphone,Battery Life,Video Memory Type,System Memory RAM Speed,Operating System,"Number Of Internal 5.25"" Bays",Game Ports,Networking,Screen Size,System Memory (RAM),Bluetooth-Enabled,Number Of PCI-E x16 Slots,Battery Type,Operating System Architecture,NFC Enabled,Voice Recognition,Number Of Memory Slots,Built-in Webcam,Hard Drive Capacity,Graphics,Embedded Mobile Broadband,Optical Drive,Number Of PCI-E x1 Slots,Number Of Ethernet Ports,Bluetooth Enabled,HDMI Output,Ethernet,Wireless Display,Touch Screen,Number Of HDMI Outputs,Digital Media Reader or Slots,Port Type(s),Best Buy PC App,Number Of PCI Slots,Computer Hard Drive Size,Number Of DVI Ports,LTE,Gaming Series,Audio Technology,Green Compliance,"Number Of External 5.25"" Bays",Number Of PCI-E x2 Slots,Color Category,Screen Size (Measured Diagonally),Direct-Disc Labeling,Cache Memory,Number Of PCI-E x4 Slots,Processor,Wireless Networking,Graphics Card,PCMCIA Slots,Built-In Webcam,Ultrabook,Optical Drive Type,Blu-Ray Player,Drive Capacity,Number Of AGP Slots,pricematch,S-Video Outputs,Pointing Device,"Number Of Internal 3.5"" Bays",System Memory (RAM) Expandable To,Numeric Keypad,IEEE 1394 FireWire Ports,System Memory RAM Expandable To,TV Tuner,USB 2.0 Ports,Laptop Weight,Backlit Keyboard,Number Of PCI-E x8 Slots,Operating System Bit Version,Parallel Ports,Touchpad Type,Hard Drive Type,Display Type,Optical Drive Speeds,Memory Slots Total,Wireless Capability,Operating System Platform,Included Software,Blu-ray Player,Processor Speed,Convertible,2-in-1,Audio,Additional Accessories Included,Number Of USB Port(s),Carrier Compatibility,Number Of DisplayPort Outputs,Battery Capacity,Number Of VGA Ports,Processor Model,MPEG,Provider_Product_ID,Speaker Type,Hard Drive RPM,3D-Capable,Screen Resolution,Modem,Number Of IEEE 1394 Ports,Graphics Chip
Yes,Yes,Yes,No,No,Intel&#174;,No,No,No,No,No,Internal,No,DDR3L SDRAM,No,Not available,No,No,Windows 8.1,No,None,Built-in 10/100Base-T Ethernet LAN (RJ-45 connector),No,4 gigabytes,No,No,3-cell Lithium Ion Polymer (Li-Ion Polymer) 2800 mAh,No,No,No,No,Yes,No,Intel&#174; HD Graphics 4400,No,DVD&#177;RW/CD-RW,No,No,No,Yes,No,No,No,No,"Yes, digital media card reader",No,No,No,500GB,No,No,No,No,No,No,No,No,"15.6""",No,3MB on die Level 3,No,Intel&#174; 4th Generation Core&#8482; i3,Wireless-B+G+N,Intel&#174; HD Graphics 4400,None,No,No,No,No,500 gigabytes,No,No,None,Touchpad with multitouch gesture support,No,Nonexpandable,No,None,No,No,1 USB 3.0; 2 USB 2.0,Ultraportable (5.5 lbs. or less),No,No,64-bit,None,No,No,HD LED touchscreen with BrightView,Drive speeds not specified,No,No,Windows,No,No,1.7GHz,No,No,High-definition,No,No,No,No,No,No,No,Yes,No,No,No,No,No,None,No,Intel
No,No,No,No,No,Intel,Yes,No,No,No,No,No,4000 megabytes,DDR3L,No,6.8 hours,Dedicated,1600 megahertz,No,No,No,No,17.3 inches,16 gigabytes,No,No,Lithium-ion,No,No,No,No,No,1128 gigabytes,Discrete,No,No,No,1,Yes,No,10/100/1000 with RJ-45 connector,No,No,1,No,USB 3.0|HDMI|Mini Display Port|Headphone|Ethernet,No,No,No,No,No,No,Klipsch,No,No,No,Silver,No,No,6 megabytes,No,No,Wireless-AC,NVIDIA GeForce GTX 980M,No,Yes,No,None,No,No,No,yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Touchpad,No,Other,No,No,No,No,No,No,3.5 gigahertz,No,No,No,8-cell lithium-ion battery,4,No,No,No,No,Intel 4th Generation Core i7,No,No,2.1 configuration with subwoofer,No,No,1920 x 1080 (Full HD),No,No,NVIDIA
Yes,No,Yes,No,No,Intel,Yes,No,No,No,Gold,No,No,DDR3L,No,No,No,No,Mac OS X 10.9 Mavericks,No,No,No,13.3 inches,8 gigabytes,No,No,Lithium-polymer,No,No,No,No,No,256 gigabytes,No,No,No,No,0,Yes,No,None,No,No,1,No,HDMI|USB,No,No,No,No,No,No,No,No,No,No,Silver,No,No,No,No,No,Wireless-AC,NVIDIA GeForce GT 750M,No,Yes,No,No,No,No,No,yes,No,No,No,No,No,No,0 gigabytes,No,No,No,No,No,No,No,Touchpad with multitouch control,Other,LED,No,No,No,No,No,No,2.6 gigahertz,No,No,No,No,2,No,0,No,0,Intel 4th Generation Core i5,No,No,No,No,No,No,No,No,NVIDIA
Yes,No,No,No,No,AMD,Yes,No,No,No,Silver,No,No,DDR3L,No,No,Shared,No,Windows 8.1,No,No,No,15.6 inches,4 gigabytes,No,No,Lithium-ion,64-bit,No,No,1,No,500 gigabytes,Integrated,No,No,No,1,Yes,No,10/100,No,Yes,1,No,USB|Ethernet|HDMI,No,No,No,No,No,No,No,No,No,No,Black,No,No,No,No,No,Wireless-N,AMD Radeon R4,No,Yes,No,DVD|CD,No,No,No,yes,No,No,No,No,No,No,8 gigabytes,No,No,No,No,No,No,No,Standard,SATA,Touchscreen LED,No,No,No,No,No,No,No,No,No,No,No,3,No,No,No,No,AMD A6-Series,No,No,No,5400 revolutions per minute,No,1366 x 768 (HD),No,No,AMD
No,No,No,No,No,Intel,Yes,No,No,No,No,No,2000 megabytes,DDR3L,No,4 hours,Dedicated,No,Windows 8.1,No,No,No,17.3 inches,16 gigabytes,No,No,Lithium-ion,No,No,No,No,No,1000 gigabytes,Discrete,No,No,No,1,Yes,No,10/100 Mbps Ethernet LAN (RJ-45 connector),No,No,1,No,USB 3.0|USB 2.0|HDMI|VGA|Ethernet,No,No,No,No,No,No,Dolby Advanced Sound v2,No,No,No,Black,No,No,No,No,No,Wireless-AC,NVIDIA GeForce GT 840M,No,Yes,No,DVD|CD,No,No,No,yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Touchpad,Other,Other,No,No,No,No,"PowerDirector, PowerDVD, Power2Go and more",No,No,No,No,No,No,3,No,No,No,1,Intel 5th Generation Core i7,No,No,Built-in JBL stereo,No,No,1920 x 1080 (Full HD),No,No,NVIDIA
No,No,No,No,No,Intel,No,No,No,No,No,No,No,DDR3L SDRAM,No,No,No,No,No,No,No,No,17.3 inches,12 gigabytes,No,No,Lithium-ion,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Silver,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Touchpad,No,LED,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Intel HD Graphics 4600
Yes,No,No,No,No,Intel,Yes,No,No,No,Silver,No,No,DDR3,No,5.433333 hours,No,1600 megahertz,Windows 8.1,No,No,No,17.3 inches,8 gigabytes,No,No,Lithium-ion,64-bit,No,No,1,No,1000 gigabytes,No,No,No,No,1,Yes,No,10/100,No,No,1,No,Ethernet|USB 3.0|USB 2.0|HDMI|Headphone|Microphone,No,No,No,No,No,No,MaxxAudio,No,No,No,Silver,No,No,4 megabytes,No,No,Wireless-B|Wireless-G|Wireless-N,Intel HD Graphics 5500,No,Yes,No,DVD|CD,No,No,No,yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Touchpad,SATA,LED,No,No,No,No,No,No,3.0 gigahertz,No,No,No,4-cell lithium-ion battery,3,No,No,No,No,Intel 5th Generation Core i7,No,No,Stereo,5400 revolutions per minute,No,1600 x 900 (HD+),No,No,Intel
Yes,Yes,No,No,No,Intel&#174;,No,No,No,No,No,Internal,No,DDR3L,No,Not available,No,No,Windows 8.1,No,None,Built-in 10/100/1000 Ethernet LAN (RJ-45 connector),No,8GB,Yes,No,4-cell Lithium Ion (Li-Ion),No,No,No,No,Yes,No,Intel&#174; HD Graphics 4400,No,DVD-RW/CD-RW,No,No,No,Yes,No,No,No,No,"Yes, digital media card reader",No,No,No,1TB,No,No,No,No,No,No,No,No,"17.3""",No,3MB,No,Intel&#174; 4th Generation Core&#8482; i5,Wireless-B+G+N,Intel&#174; HD Graphics 4400,None,No,No,No,No,1TB,No,No,None,No,No,Nonexpandable,No,None,No,No,4 USB 3.0,Standard (more than 5.5 lbs.),Yes,No,64-bit,None,No,SATA (5400 rpm),HD LED touchscreen,Drive speeds not specified,No,No,Windows,No,No,1.7GHz (with Turbo Boost up to 2.7GHz),No,No,Waves MaxxAudio Pro,No,No,No,No,No,No,No,Yes,No,No,No,No,No,None,No,Intel
Yes,No,No,No,No,Intel,Yes,No,No,No,Gold,No,No,DDR3L,No,11.3 hours,No,1600 megahertz,Windows 8.1,No,No,No,13.3 inches,4 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,128 gigabytes,No,No,No,No,No,Yes,No,None,No,No,No,No,Mini Display Port|Headphone|USB 3.0,No,No,No,No,No,No,MaxxAudio,No,No,No,Silver,No,No,3 megabytes,No,No,Wireless-AC,Intel HD Graphics 5500,No,Yes,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Not Applicable,Solid State Drive,LCD,No,No,No,No,No,No,2.7 gigahertz,No,No,No,4-cell lithium-ion battery,2,No,1,No,No,Intel 5th Generation Core i5,No,No,Built-in stereo,No,No,No,No,No,Intel
Yes,No,No,No,Yes,Intel,Yes,1,No,No,Gold,No,No,LPDDR3,No,12.5 hours,Shared,1600 megahertz,Windows 8.1,No,No,No,13.3 inches,8 gigabytes,No,No,Lithium-ion,64-bit,No,Yes,2,No,256 gigabytes,Integrated,None,No,No,0,Yes,No,None,No,Yes,1,No,HDMI,No,No,No,No,No,No,High-definition,No,No,No,Silver,No,No,3 megabytes,No,No,Wireless-AC,Intel HD Graphics 5500,No,Yes,No,None,No,No,No,yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,HP Imagepad with multitouch gesture support,Solid State Drive,Touchscreen LED,No,No,No,No,"Dragon Assistant, CyberLink PowerDVD, CyberLink YouCam and more",No,2.2 gigahertz,No,No,No,"3-cell lithium-ion battery (4960 mAh), 45W AC adapter, software",3,No,1,4960 milliampere hours,No,Intel 5th Generation Core i5,No,No,Integrated stereo,No,No,1920 x 1080 (Full HD),No,No,Intel
No,No,No,No,No,Intel,Yes,No,No,No,No,No,No,DDR3L,No,No,No,No,Chrome OS,No,No,No,13.3 inches,2 gigabytes,No,No,Lithium-ion polymer,No,No,No,1,No,16 gigabytes,No,No,No,No,No,Yes,No,No,No,No,1,No,USB 2.0|USB 3.0|HDMI,No,No,No,No,No,No,No,No,No,No,Yellow,No,No,No,No,No,Wireless-AC,Intel HD,No,Yes,No,None,No,No,No,yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Large,Other,Other,No,No,No,No,No,No,2.16 gigahertz,No,No,No,3-cell lithium-ion polymer battery,2,No,No,No,No,Intel Celeron,No,No,No,No,No,1366 x 768 (HD),No,No,Intel
No,No,No,No,No,Intel,Yes,No,No,No,No,No,No,DDR3L SDRAM,No,No,No,No,Windows 7 Home Premium,No,No,No,15.6 inches,4 gigabytes,No,No,Lithium-ion,64-bit,No,No,1,No,500 gigabytes,No,None,No,No,1,Yes,No,Built-in Gigabit Ethernet LAN,No,No,1,No,Ethernet|HDMI|USB,No,No,No,No,No,No,No,No,No,No,Red,No,No,3 megabytes,No,No,Wireless-B|Wireless-G|Wireless-N,Intel HD Graphics 4400,No,Yes,No,DVD+RW|DVD-RW|CD-RW,No,No,No,yes,No,No,No,No,No,No,8 gigabytes,No,No,No,No,No,No,No,Touchpad with multitouch gesture support,SATA,Widescreen LCD,No,No,No,No,Bing Bar and more,No,1.7 gigahertz,No,No,No,No,3,No,0,No,0,Intel 4th Generation Core i3,No,No,No,5400 revolutions per minute,No,No,No,No,Intel
No,No,No,No,No,Intel,Yes,No,No,No,No,No,2000 megabytes,DDR3L,No,5 hours,Dedicated,No,Windows 8.1,No,No,No,15.6 inches,16 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,1000 gigabytes,Discrete,None,No,No,1,Yes,No,Built-in 10/100/1000 Mbps Fast Ethernet (RJ-45 connector),No,No,1,No,USB 3.0|Ethernet|HDMI|DisplayPort,No,No,No,No,No,No,AudioWizard,No,No,No,Black,No,No,No,No,No,Wireless-A|Wireless-G|Wireless-N,NVIDIA GeForce GTX 860M,No,Yes,No,DVD+RW|DVD-RW|CD-RW,No,No,No,yes,No,No,No,No,No,No,16 gigabytes,No,No,No,Yes,No,No,No,Built-in,SATA,Other,No,No,No,No,None,No,2.5 gigahertz,No,No,No,No,3,No,1,No,No,Intel 4th Generation Core i7,No,No,No,7200 revolutions per minute,No,1920 x 1080 (Full HD),No,No,NVIDIA
No,No,No,No,No,Intel,Yes,No,No,No,No,No,4000 megabytes,DDR3L,No,4 hours,Dedicated,No,Windows 8.1,No,No,No,17.3 inches,32 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,1512 gigabytes,Discrete,No,No,No,1,Yes,No,10/100/1000 Mbps Fast with RJ-45 connector,No,No,1,No,Ethernet|USB 3.0|Headphone|Microphone|Audio in|VGA,No,No,No,No,No,No,ROG AudioWizard,No,No,No,Black,No,No,No,No,No,Wireless-AC,NVIDIA GTX 980M,No,Yes,No,BD,Yes,No,No,yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Touchpad,SATA + Solid State Drive,Other,No,No,No,No,No,No,2.4 gigahertz,No,No,No,8-cell lithium-ion battery,4,No,No,No,1,Intel 4th Generation Core i7,No,No,No,7200 revolutions per minute,No,1920 x 1080 (Full HD),No,No,NVIDIA
No,No,No,No,No,Intel,Yes,No,No,No,No,No,No,DDR3L SDRAM,No,No,No,1600 megahertz,Windows 7 Professional,No,No,No,14 inches,8 gigabytes,No,No,Other,64-bit,Yes,No,No,No,180 gigabytes,Integrated,No,No,No,No,Yes,No,10/100/1000 Ethernet LAN,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Silver,No,No,3 megabytes,No,No,Wireless-A|Wireless-B|Wireless-G|Wireless-N|Wireless-AC,Intel HD Graphics 5500,No,Yes,Yes,None,No,No,No,yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Touchpad,Solid State Drive,LED,No,No,No,No,No,No,2.3 gigahertz,No,No,No,"Side dock adapter, Windows 8.1 Pro license",No,No,No,No,No,Intel 5th Generation Core i5,No,No,No,No,No,1920 x 1080 (Full HD),No,No,Intel
No,No,No,No,No,Intel,Yes,1,No,No,No,No,4000 megabytes,DDR3 SDRAM,No,4 hours,Dedicated,No,Windows 8,No,No,No,17.3 inches,16 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,1120 gigabytes,Discrete,None,No,No,1,Yes,No,Built-in Big Foot 10/100/1000 Ethernet LAN,No,No,1,No,3.5mm audio|Ethernet|HDMI|USB|VGA,No,No,No,No,No,No,HD Audio; Realtek ALC892-GR,No,0,No,Gray,No,No,6 megabytes,No,No,Wireless-B|Wireless-G|Wireless-N,NVIDIA GeForce GTX 780M mobile,No,Yes,No,CD-RW|DVD+RW|DVD-RW,No,No,No,yes,No,No,No,No,No,No,32 gigabytes,No,No,No,Yes,No,No,No,Touchpad,SATA + Solid State Drive,Widescreen LED,No,No,No,No,"Operating System, Drivers",No,2.7 gigahertz,No,No,No,No,5,No,0,No,1,Intel 4th Generation Core i7,No,No,Internal,5400 revolutions per minute,No,1920 x 1080 (Full HD),No,0,NVIDIA
No,No,No,No,No,Intel,Yes,No,No,No,No,No,No,DDR3,No,5 hours,No,No,Windows 8.1,No,No,No,15.6 inches,4 gigabytes,No,No,Lithium-ion,No,No,No,No,No,1000 gigabytes,Integrated,No,No,No,No,Yes,No,Built-in 10/100 Mbps Ethernet LAN,No,No,1,No,USB 2.0|USB 3.0|HDMI|VGA|Headphone|Microphone,No,No,No,No,No,No,Dolby Advanced Audio v2,No,No,No,Black,No,No,No,No,No,Wireless-AC,Intel HD Graphics 4400,No,Yes,No,DVD|CD,No,No,No,yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Touchpad,No,Other,No,No,No,No,"PowerDVD, PowerDirector; Amazon Kindle and more",No,No,No,No,No,No,3,No,No,No,1,Intel 4th Generation Core i3,No,No,Built-in stereo,No,No,1366 x 768 (HD),No,No,Intel
No,No,No,No,No,Intel,Yes,No,No,No,No,No,No,DDR3,No,No,No,No,Chrome OS,No,No,No,13.3 inches,2 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,16 gigabytes,No,4G LTE,No,No,0,Yes,No,None,No,No,1,No,HDMI|USB,No,No,No,No,LTE,No,No,No,No,No,Black,No,No,1 megabytes,No,No,Wireless-AC,Intel HD,No,Yes,No,None,No,No,No,yes,No,No,No,No,No,No,4 gigabytes,No,No,No,No,No,No,No,Touchpad,Other,Other,No,No,No,No,No,No,2.16 gigahertz,No,No,No,No,2,No,0,No,0,Intel Celeron,No,No,Internal,No,No,No,No,0,Intel
Yes,No,Yes,0,No,Samsung,No,1,No,0,Silver,No,No,DDR3L SDRAM,No,6 hours,No,No,Chrome OS,0,No,No,11.6 inches,2 gigabytes,No,No,Lithium-polymer,64-bit,No,No,0,No,16 gigabytes,No,4G LTE,No,No,0,Yes,No,None,No,No,0,No,3.5mm audio,No,No,No,No,LTE,No,No,No,0,No,White,No,No,No,No,No,Wireless-A,None,No,Yes,No,None,No,No,No,yes,No,No,0,No,No,No,0 gigabytes,No,No,No,No,No,No,No,Touchpad with multitouch gesture support,Other,LED-LCD,No,No,No,No,No,No,1.7 gigahertz,No,No,No,No,2,No,0,No,0,Samsung Exynos,No,No,Internal,No,No,1366 x 768 (HD),No,0,None
Yes,Yes,No,No,No,Intel&#174;,No,No,No,No,No,Internal,No,DDR3L SDRAM,No,Not available,No,No,Windows 8.1,No,None,None,No,8 gigabytes,Yes,No,No,No,No,No,No,Yes,No,Intel&#174; HD Graphics 5300,No,Not included,No,No,No,Yes,No,No,No,No,"Yes, digital media card reader",No,No,No,516GB,No,No,No,No,No,No,No,No,"15.6""",No,4MB on die Level 3,No,No,Wireless-AC,Intel&#174; HD Graphics 5300,None,No,No,No,No,516GB,No,yes,None,No,No,Nonexpandable,No,None,No,No,2 USB 3.0,Ultraportable (5.5 lbs. or less),Yes,No,64-bit,None,No,Hybrid,HD LED touchscreen with IPS,No,No,No,Windows,"Dragon Assistant; CyberLink PowerDirector, CyberLink PhotoDirector, CyberLink MediaEspresso and more",No,No,No,Yes,BeatsAudio,No,No,No,No,No,No,No,No,No,No,No,No,No,None,No,Intel
Yes,No,No,No,No,AMD,Yes,0,No,No,Silver,No,No,DDR3L SDRAM,No,4.75 hours,Shared,No,Windows 8.1,No,No,No,15.6 inches,8 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,1000 gigabytes,Integrated,None,No,No,0,Yes,No,Built-in 10/100BASE-T Ethernet,No,Yes,1,No,HDMI|USB,No,No,No,No,No,No,No,No,0,No,Silver,No,No,4 megabytes,No,No,Wireless-B|Wireless-G|Wireless-N,AMD Radeon HD 8510G,No,Yes,No,CD-RW|DVD+RW|DVD-RW,No,No,No,yes,No,No,No,No,No,No,0 gigabytes,No,No,No,No,No,No,No,Imagepad with multitouch gesture support,SATA,Touchscreen LED,No,No,No,No,"Dragon Notes; CyberLink PowerDirector, CyberLink PhotoDirector, CyberLink PowerDVD and more",No,1.7 gigahertz,No,No,No,No,3,No,0,2800 milliampere hours,0,AMD A8-Series,No,No,No,5400 revolutions per minute,No,1366 x 768 (HD),No,No,AMD
No,No,No,No,No,Intel,Yes,No,No,No,No,No,2000 megabytes,DDR3L,No,4 hours,Dedicated,No,Windows 8.1,No,No,No,15.6 inches,8 gigabytes,No,No,Lithium-ion,No,No,No,No,No,1000 gigabytes,Discrete,No,No,No,No,Yes,No,100/1000 Mbps Ethernet,Yes,No,1,No,USB 2.0|USB 3.0|RJ-45|S/PDIF|HDMI|Headphone|Microphone,No,No,No,No,No,No,Dolby Advanced Audio,No,No,No,Black,No,No,No,No,No,Wireless-AC,NVIDIA GeForce GTX 860M,No,Yes,No,DVD-RW|CD-RW,No,No,No,yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Touchpad,No,Other,No,No,No,No,"PowerDirector, Power2Go, PowerDVD, Nitro Pro 9 PDF, Evernote and more",No,3.6 gigahertz,No,No,No,No,3,No,No,No,No,Intel 4th Generation Core i7,No,No,JBL,No,No,1920 x 1080 (Full HD),No,No,NVIDIA
No,No,No,No,No,Intel,Yes,No,No,No,No,No,No,DDR3,No,5.43 hours,No,1600 megahertz,Windows 7 Professional,No,No,No,17.3 inches,8 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,1000 gigabytes,Integrated,No,No,No,1,Yes,No,10/100 Ethernet LAN,No,Yes,1,No,USB 2.0|USB 3.0|HDMI|Headphone|Microphone|Ethernet,No,No,No,No,No,No,MaxxAudio,No,No,No,Silver,No,No,4 megabytes,No,No,Wireless-B|Wireless-G|Wireless-N,Intel HD Graphics 5500,No,Yes,No,CD|DVD,No,No,No,yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Touchpad,SATA,Touchscreen LED,No,No,No,No,No,No,3.0 gigahertz,No,No,No,No,3,No,No,No,No,Intel 5th Generation Core i7,No,No,Stereo,5400 revolutions per minute,No,1600 x 900 (HD+),No,No,Intel
No,No,No,No,No,Intel,Yes,No,No,No,No,No,2000 megabytes,DDR3L SDRAM,No,No,Dedicated,No,Windows 8.1,No,No,No,17.3 inches,16 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,1000 gigabytes,No,None,No,No,1,Yes,No,Built-in 10/100/1000 Gigabit Ethernet LAN,No,No,1,No,Ethernet|HDMI|USB|VGA,No,No,No,No,No,No,High-definition,No,No,No,Multi,No,No,No,No,No,Wireless-B|Wireless-G|Wireless-N,NVIDIA GeForce GTX 860M,No,Yes,No,DVD+RW|DVD-RW|CD-RW,No,No,No,yes,No,No,No,No,No,No,0 gigabytes,No,No,No,Yes,No,No,No,Touchpad,SATA,Widescreen LED,No,No,No,No,No,No,2.4 gigahertz,No,No,No,No,4,No,0,No,1,Intel 4th Generation Core i7,No,No,Internal,5400 revolutions per minute,No,1920 x 1080 (Full HD),No,0,NVIDIA
Yes,No,No,No,No,Intel,Yes,No,No,No,Silver,No,2048 megabytes,DDR3L SDRAM,No,No,Dedicated,No,Windows 8.1,No,No,No,17.3 inches,8 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,1000 gigabytes,Discrete,None,No,No,1,Yes,No,10/100/1000 Gigabit Ethernet LAN (RJ-45 connector),No,No,No,No,Ethernet|HDMI|USB 3.0,No,No,No,No,No,No,BeatsAudio,No,No,No,Silver,No,No,6 megabytes,No,No,Wireless-AC,NVIDIA GeForce 840M,No,Yes,No,DVD+RW|DVD-RW|DVD+R|DVD-R|DVD-ROM|CD-RW|CD-R|CD-ROM,No,No,No,yes,No,No,No,No,Yes,No,16 gigabytes,No,No,No,Yes,No,No,No,Touchpad,No,LED,No,No,No,No,"CyberLink Media Suite, CyberLink Power2Go, CyberLink LabelPrint and more",No,2.5 gigahertz,No,No,No,No,4,No,No,2800 milliampere hours,No,Intel 4th Generation Core i7,No,No,BeatsAudio,5400 revolutions per minute,No,1600 x 900 (HD+),No,No,NVIDIA
No,No,No,No,No,Intel,Yes,1,No,No,No,No,No,DDR3 SDRAM,No,4 hours,Dedicated,No,Windows 8.1,No,No,No,17.3 inches,16 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,1120 gigabytes,Discrete,None,No,No,1,Yes,No,Built-in Killer Ethernet LAN,No,No,1,No,3.5mm audio|Ethernet|HDMI|USB|VGA,No,No,No,No,No,No,High-definition; Realtek ALC892-GR,No,0,No,Gray,No,No,6 megabytes,No,No,Wireless-B|Wireless-G|Wireless-N,NVIDIA GeForce GTX 870M,No,Yes,No,CD-RW|DVD+RW|DVD-RW,No,No,No,yes,No,No,No,No,No,No,32 gigabytes,No,No,No,Yes,No,No,No,Touchpad,SATA + Solid State Drive,Widescreen LED,No,No,No,No,"Operating System, Drivers",No,2.8 gigahertz,No,No,No,No,5,No,0,7800 milliampere hours,1,Intel 4th Generation Core i7,No,No,Internal,7200 revolutions per minute,No,1920 x 1080 (Full HD),No,0,NVIDIA
Yes,No,Yes,0,Yes,Intel,Yes,1,No,0,Silver,No,1792 megabytes,DDR3L SDRAM,No,4.5 hours,Shared,No,Windows 8.1,0,No,No,11.6 inches,4 gigabytes,No,No,Lithium-ion,64-bit,No,No,0,No,500 gigabytes,Integrated,None,No,No,1,Yes,No,Built-in 10/100BASE-T Ethernet,No,Yes,1,No,3.5mm audio|Ethernet|HDMI|USB,No,No,No,No,No,No,Beats Audio,No,0,No,Silver,No,No,No,No,No,Wireless-B|Wireless-G|Wireless-N,Intel HD,No,Yes,No,None,No,No,No,yes,No,No,0,No,No,No,0 gigabytes,No,No,No,No,No,No,No,Imagepad with multitouch gesture support,SATA,Touchscreen LED,No,No,No,No,"CyberLink Media Suite, CyberLink PowerDirector, CyberLink PhotoDirector and more",No,2.17 gigahertz,No,No,No,No,3,No,0,No,0,Intel Pentium,No,No,Internal,5400 revolutions per minute,No,1366 x 768 (HD),No,0,Intel
Yes,No,No,No,No,AMD,Yes,No,No,No,Gold,No,No,DDR3 SDRAM,No,No,Shared,No,Windows 8.1,No,No,No,15.6 inches,2 gigabytes,No,No,Lithium-ion,64-bit,No,No,2,No,500 gigabytes,Integrated,None,No,No,1,Yes,No,Gigabit with RJ-45 connector,No,No,1,No,USB 2.0,No,No,No,No,No,No,No,No,No,No,Gray,No,No,1 megabytes,No,No,Wireless-B,AMD Radeon R4,No,Yes,No,DVD+R,No,No,No,yes,No,No,No,No,No,No,16 gigabytes,No,No,No,No,No,No,No,Multitouch gesture,SATA,LED,No,No,No,No,"CyberLink PowerDVD, CyberLink Power2Go and more",No,2.2 gigahertz,No,No,No,"4-cell lithium-ion battery, AC adapter, software",4,No,No,No,1,AMD A6-Series,No,No,No,5400 revolutions per minute,No,1366 x 768 (HD),No,No,AMD
Yes,No,Yes,No,No,Intel,No,No,No,No,Gold,No,No,LPDDR3,No,No,No,No,No,No,No,No,13.3 inches,4 gigabytes,No,No,Lithium-polymer,No,No,No,2,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Silver,No,No,No,No,No,No,Intel HD Graphics 6000,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,8 gigabytes,No,No,No,No,No,No,No,Multi-touch,No,LED,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Intel
No,No,No,No,No,Intel,Yes,No,No,No,No,No,No,DDR3,No,5 hours,No,No,Windows 8.1,No,No,No,15.6 inches,8 gigabytes,No,No,Lithium-ion,No,No,No,No,No,1000 gigabytes,Integrated,No,No,No,No,Yes,No,10/100 Ethernet LAN,No,No,1,No,USB 2.0|USB 3.0|Headphone|Microphone|HDMI|VGA,No,No,No,No,No,No,Dolby Advanced Audio,No,No,No,Black,No,No,No,No,No,Wireless-AC,Intel HD Graphics 5500,No,Yes,No,DVD-RW|CD-RW,No,No,No,yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Touchpad,No,Other,No,No,No,No,"PowerDVD, PowerDirector, Evernote and more",No,3.0 gigahertz,No,No,No,No,3,No,No,No,1,Intel 5th Generation Core i7,No,No,No,No,No,1366 x 768 (HD),No,No,Intel
