EPEAT Qualified,Touchscreen,ENERGY STAR Certified,Number Of eSATA Ports,2-in-1 Design,Processor Brand,Media Card Reader,Number Of Auxiliary Outputs,Additional Audio/Video Connectors,"Number Of External 3.5"" Bays",EPEAT Level,Speakers,Video Memory,Type of Memory (RAM),Integrated Microphone,Battery Life,Video Memory Type,System Memory RAM Speed,Operating System,"Number Of Internal 5.25"" Bays",Game Ports,Networking,Screen Size,System Memory (RAM),Bluetooth-Enabled,Number Of PCI-E x16 Slots,Battery Type,Operating System Architecture,NFC Enabled,Voice Recognition,Number Of Memory Slots,Built-in Webcam,Hard Drive Capacity,Graphics,Embedded Mobile Broadband,Optical Drive,Number Of PCI-E x1 Slots,Number Of Ethernet Ports,Bluetooth Enabled,HDMI Output,Ethernet,Wireless Display,Touch Screen,Number Of HDMI Outputs,Digital Media Reader or Slots,Port Type(s),Best Buy PC App,Number Of PCI Slots,Computer Hard Drive Size,Number Of DVI Ports,LTE,Gaming Series,Audio Technology,Green Compliance,"Number Of External 5.25"" Bays",Number Of PCI-E x2 Slots,Color Category,Screen Size (Measured Diagonally),Direct-Disc Labeling,Cache Memory,Number Of PCI-E x4 Slots,Processor,Wireless Networking,Graphics Card,PCMCIA Slots,Built-In Webcam,Ultrabook,Optical Drive Type,Blu-Ray Player,Drive Capacity,Number Of AGP Slots,pricematch,S-Video Outputs,Pointing Device,"Number Of Internal 3.5"" Bays",System Memory (RAM) Expandable To,Numeric Keypad,IEEE 1394 FireWire Ports,System Memory RAM Expandable To,TV Tuner,USB 2.0 Ports,Laptop Weight,Backlit Keyboard,Number Of PCI-E x8 Slots,Operating System Bit Version,Parallel Ports,Touchpad Type,Hard Drive Type,Display Type,Optical Drive Speeds,Memory Slots Total,Wireless Capability,Operating System Platform,Included Software,Blu-ray Player,Processor Speed,Convertible,2-in-1,Audio,Additional Accessories Included,Number Of USB Port(s),Carrier Compatibility,Number Of DisplayPort Outputs,Battery Capacity,Number Of VGA Ports,Processor Model,MPEG,Provider_Product_ID,Speaker Type,Hard Drive RPM,3D-Capable,Screen Resolution,Modem,Number Of IEEE 1394 Ports,Graphics Chip
No,No,No,No,No,Intel,Yes,No,No,No,No,No,2000 megabytes,DDR3L SDRAM,No,No,Dedicated,No,Windows 8.1,No,No,No,15.6 inches,8 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,1000 gigabytes,No,None,No,No,1,Yes,No,Built-in 10/100/1000 Gigabit Ethernet LAN,No,No,1,No,Ethernet|HDMI|USB|VGA,No,No,No,No,No,No,High-definition,No,No,No,Multi,No,No,No,No,No,Wireless-B|Wireless-G|Wireless-N,NVIDIA GeForce GTX 860M,No,Yes,No,DVD+RW|DVD-RW|CD-RW,No,No,No,yes,No,No,No,No,No,No,16 gigabytes,No,No,No,Yes,No,No,No,Touchpad,SATA,Widescreen LED,No,No,No,No,No,No,2.5 gigahertz,No,No,No,No,4,No,0,No,1,Intel 4th Generation Core i5,No,No,Internal,5400 revolutions per minute,No,1920 x 1080 (Full HD),No,0,NVIDIA
Yes,No,Yes,No,No,Intel,Yes,0,No,No,Gold,No,10000 megabytes,DDR3 SDRAM,No,10 hours,No,No,Windows 7 Professional,No,No,No,15.6 inches,4 gigabytes,No,No,Lithium-polymer,64-bit,No,No,No,No,500 gigabytes,No,No,No,No,0,Yes,No,Built-in Gigabit Ethernet LAN,No,No,0,No,USB,No,No,No,0,No,No,No,No,0,No,Black,No,No,3 megabytes,No,No,Wireless-A|Wireless-B|Wireless-G|Wireless-N,Intel HD Graphics 4000,No,Yes,No,BD,No,No,No,yes,No,No,No,No,No,No,16 gigabytes,No,No,No,No,No,No,No,Touchpad,SATA,LED-LCD,No,No,No,No,No,No,1.9 gigahertz,No,No,No,No,3,No,0,No,0,Intel 4th Generation Core i5,No,No,Internal,7200 revolutions per minute,No,No,No,0,Intel
No,No,No,No,No,Intel,No,No,No,No,No,No,No,DDR3L,No,No,No,No,No,No,No,No,15.6 inches,4 gigabytes,No,No,Other,No,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Black,No,No,No,No,No,No,Intel UMA,No,Yes,No,No,No,No,No,yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Touchpad,No,Other,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Intel
Yes,No,Yes,No,No,Intel,No,No,No,No,Gold,No,No,LPDDR3,No,No,No,No,No,No,No,No,11.6 inches,4 gigabytes,No,No,Lithium-polymer,No,No,No,2,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Silver,No,No,No,No,No,No,Intel HD Graphics 5000,No,Yes,No,No,No,No,No,yes,No,No,No,No,No,No,8 gigabytes,No,No,No,No,No,No,No,Multi-touch,No,LED,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Intel
No,No,No,No,Yes,Intel,Yes,No,No,No,No,No,No,DDR3 SDRAM,No,No,No,1600 megahertz,Windows 8.1 Pro,No,No,No,11.6 inches,4 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,128 gigabytes,Integrated,No,No,No,No,Yes,No,Built-in 10/100/1000 Ethernet LAN,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Silver,No,No,3 megabytes,No,No,Wireless-A|Wireless-B|Wireless-G|Wireless-N|Wireless-AC,Intel HD Graphics 5500,No,Yes,Yes,None,No,No,No,yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Touchpad,Solid State Drive,Touchscreen LED,No,No,No,No,No,No,2.1 gigahertz,No,No,No,Executive Pen G2,No,No,No,No,No,Intel 5th Generation Core i3,No,No,No,No,No,1366 x 768 (HD),No,No,Intel
Yes,No,No,No,No,Intel,Yes,No,No,No,Gold,No,No,DDR3L SDRAM,No,No,Shared,No,Windows 7 Professional,No,No,No,15.6 inches,4 gigabytes,No,No,Lithium-ion,64-bit,No,No,2,No,500 gigabytes,Integrated,None,No,No,1,Yes,No,Gigabit with RJ-45 connector,No,No,1,No,Ethernet,No,No,No,No,No,No,No,No,No,No,Black,No,No,3 megabytes,No,No,Wireless-A,Intel HD Graphics 4400,No,Yes,No,DVD+R,No,No,No,yes,No,No,No,No,No,No,16 gigabytes,No,No,No,No,No,No,No,Multitouch gesture,SATA,LED,No,No,No,No,"CyberLink Power2Go, CyberLink PowerDVD, CyberLink YouCam BE and more",No,1.7 gigahertz,No,No,No,"4-cell lithium-ion battery, AC adapter, power cord, software, Windows 8.1 Pro license media",4,No,No,2850 milliampere hours,1,Intel 4th Generation Core i3,No,No,No,5400 revolutions per minute,No,1366 x 768 (HD),No,No,Intel
No,No,No,No,No,Intel,Yes,No,No,No,No,No,4000 megabytes,DDR3,No,4 hours,No,No,Windows 8.1,No,No,No,15.6 inches,16 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,1128 gigabytes,No,No,No,No,No,Yes,No,No,No,No,1,No,USB 2.0,No,No,No,No,No,No,HD Audio; Realtek ALC269Q,No,No,No,Multi,No,No,No,No,No,No,NVIDIA GeForce GTX 860M,No,Yes,No,DVD+RW,No,No,No,yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Integrated,SATA + Solid State Drive,LED,No,No,No,No,No,No,2.5 gigahertz,No,No,No,No,2,No,No,No,No,Intel 4th Generation Core i7,No,No,No,7200 revolutions per minute,No,No,No,No,NVIDIA
No,No,No,No,No,Intel,Yes,No,No,No,No,No,2000 megabytes,DDR3L,No,7 hours,No,No,Windows 8.1,No,No,No,13.3 inches,12 gigabytes,No,No,Lithium-ion polymer,64-bit,No,No,No,No,256 gigabytes,No,No,No,No,1,Yes,No,10/100/1000 Mbps Fast,No,Yes,1,No,Ethernet|USB 3.0|HDMI|Mini Display Port|Headphone,No,No,No,No,No,No,"Bang & Olufsen ICEpower, SonicMaster",No,No,No,Brown,No,No,No,No,No,Wireless-AC,NVIDIA GT 840M,No,Yes,No,None,No,No,No,yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Wide 16:9,Solid State Drive,Other,No,No,No,No,No,No,2.0 gigahertz,No,No,No,3-cell lithium-ion polymer battery,3,No,No,No,No,Intel 4th Generation Core i7,No,No,No,No,No,3200 x 1800 (QHD+),No,No,NVIDIA
No,No,No,No,No,Intel,No,No,No,No,No,No,No,DDR3 SDRAM,No,No,No,No,Windows 7 Professional,No,No,No,14 inches,8 gigabytes,No,No,Lithium-polymer,64-bit,No,No,1,No,256 gigabytes,No,None,No,No,1,Yes,No,Built-in 10/100/1000 Gigabit Ethernet LAN,No,No,0,No,Ethernet|USB,No,No,No,No,No,No,No,No,No,No,Black,No,No,4 megabytes,No,No,Wireless-A|Wireless-B|Wireless-G|Wireless-N,Intel HD Graphics 4400,No,Yes,No,None,No,No,No,yes,No,No,No,No,No,No,0 gigabytes,No,No,No,No,No,No,No,Touchpad,Other,LED-LCD,No,No,No,No,No,No,2.1 gigahertz,No,No,No,No,4,No,0,No,0,Intel 4th Generation Core i7,No,No,No,No,No,No,No,No,Intel
Yes,No,No,No,No,Intel,Yes,No,No,No,Silver,No,No,DDR3 SDRAM,No,4 hours,Shared,No,Windows 8.1,No,No,No,17.3 inches,8 gigabytes,No,No,Lithium-ion,64-bit,No,No,2,No,1000 gigabytes,Integrated,No,No,No,1,Yes,No,Gigabit,No,No,1,No,USB 2.0|USB 3.0|HDMI|VGA,No,No,No,No,No,No,No,No,No,No,Black,No,No,3 megabytes,No,No,Wireless-B|Wireless-G|Wireless-N|Wireless-AC,Intel HD Graphics 4400,No,Yes,No,DVD+R|DVD-R|DVD+RW|DVD-RW|CD-R|CD-RW,No,No,No,yes,No,No,No,No,No,No,16 gigabytes,No,No,No,No,No,No,No,Multitouch gesture,No,LED-LCD,No,No,No,No,No,No,1.7 gigahertz,No,No,No,"4-cell lithium-ion battery, AC adapter",3,No,No,2800 milliampere hours,1,Intel Core i5,No,No,No,5400 revolutions per minute,No,1600 x 900 (HD+),No,No,Intel
No,No,No,No,No,Intel,Yes,No,No,No,No,No,No,DDR3L SDRAM,No,No,No,No,Windows 8.1,No,No,No,15.6 inches,8 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,1000 gigabytes,No,None,No,No,1,Yes,No,Built-in Fast Ethernet LAN (RJ-45 connector),No,Yes,1,No,USB|HDMI|Ethernet,No,No,No,No,No,No,Realtek 3234 with Waves MaxxVoice,No,No,No,Black,No,No,3 megabytes,No,No,Wireless-B|Wireless-G|Wireless-N,Intel,No,Yes,No,DVD-RW|DVD+RW|CD-RW,No,No,No,yes,No,No,No,No,No,No,0 gigabytes,No,No,No,No,No,No,No,Touchpad with multitouch gesture support,SATA,LED,No,No,No,No,No,No,1.7 gigahertz,No,No,No,No,3,No,No,No,No,Intel 4th Generation Core i5,No,No,No,No,No,No,No,0,Intel
Yes,No,No,No,No,Intel,Yes,No,No,No,Silver,No,No,DDR3,No,5.433333 hours,No,1600 megahertz,Windows 8.1,No,No,No,17.3 inches,4 gigabytes,No,No,Lithium-ion,64-bit,No,No,1,No,500 gigabytes,No,No,No,No,1,Yes,No,10/100,No,No,1,No,Ethernet|USB 3.0|USB 2.0|HDMI|Headphone|Microphone,No,No,No,No,No,No,MaxxAudio,No,No,No,Silver,No,No,3 megabytes,No,No,Wireless-B|Wireless-G|Wireless-N,Intel HD Graphics 5500,No,Yes,No,DVD|CD,No,No,No,yes,No,No,No,No,No,No,8 gigabytes,No,No,No,No,No,No,No,Touchpad,SATA,LED,No,No,No,No,No,No,2.0 gigahertz,No,No,No,4-cell lithium-ion battery,3,No,No,No,No,Intel 5th Generation Core i3,No,No,Stereo,5400 revolutions per minute,No,1600 x 900 (HD+),No,No,Intel
